,Year,Host,Total teams,Total games,Home goals,Away goals,Total goals
,1989,Netherlands,16,40,125,98,223
Team,P,W,L,D,GF,GA,GD
Netherlands,8,4,2,2,21,14,7
Denmark,3,1,1,1,12,10,2
Paraguay,6,2,2,2,14,14,0
Algeria,3,0,3,0,5,17,-12
Hungary,6,2,2,2,23,17,6
Brazil,8,6,2,0,35,17,18
Saudi Arabia,3,0,3,0,4,27,-23
Spain,3,2,1,0,14,9,5
Japan,3,0,3,0,3,11,-8
Belgium,8,5,2,1,22,13,9
Canada,3,1,2,0,7,7,0
Argentina,6,2,4,0,13,18,-5
Italy,6,3,3,0,17,16,1
Zimbabwe,3,0,3,0,3,14,-11
United States,8,6,1,1,24,11,13
Australia,3,1,1,1,6,8,-2
,Year,Host,Total teams,Total games,Home goals,Away goals,Total goals
,1992,Hong Kong,16,40,207,100,307
Team,P,W,L,D,GF,GA,GD
Poland,6,2,4,0,15,22,-7
Hong Kong,3,1,2,0,7,7,0
Argentina,6,3,3,0,16,20,-4
Nigeria,3,0,3,0,7,15,-8
Netherlands,6,3,2,1,15,17,-2
Iran,8,5,3,0,36,30,6
Italy,3,1,2,0,15,16,-1
Paraguay,3,1,2,0,14,18,-4
Brazil,8,7,0,1,44,7,37
Australia,3,1,2,0,9,11,-2
Belgium,6,3,3,0,17,18,-1
Costa Rica,3,0,3,0,9,29,-20
Spain,8,5,2,1,42,35,7
China,3,0,3,0,7,23,-16
United States,8,4,2,2,34,23,11
Russia,3,1,1,1,20,16,4
,Year,Host,Total teams,Total games,Home goals,Away goals,Total goals
,1996,Spain,16,40,207,83,290
Team,P,W,L,D,GF,GA,GD
Spain,8,7,1,0,34,12,22
Egypt,3,1,2,0,13,19,-6
Ukraine,8,3,3,2,36,25,11
Australia,3,0,3,0,4,26,-22
Argentina,3,1,1,1,7,9,-2
China,3,0,3,0,3,18,-15
Netherlands,6,2,2,2,22,20,2
Russia,8,4,2,2,29,17,12
United States,3,1,2,0,12,7,5
Uruguay,6,3,2,1,17,17,0
Malaysia,3,0,3,0,4,24,-20
Italy,6,3,2,1,21,13,8
Brazil,8,7,0,1,55,16,39
Belgium,6,2,4,0,17,22,-5
Iran,3,1,2,0,12,14,-2
Cuba,3,0,3,0,4,31,-27
,Year,Host,Total teams,Total games,Home goals,Away goals,Total goals
,2000,Guatemala,16,40,211,91,302
Team,P,W,L,D,GF,GA,GD
Guatemala,3,1,2,0,10,40,-30
Portugal,8,5,3,0,23,23,0
Brazil,8,7,1,0,78,14,64
Kazakhstan,3,0,3,0,8,24,-16
Uruguay,3,1,2,0,7,8,-1
Thailand,3,0,3,0,2,17,-15
Netherlands,6,3,3,0,17,20,-3
Egypt,6,3,3,0,27,27,0
Russia,8,4,4,0,37,24,13
