1989 FIFA Futsal World Championship,1989,Netherlands
5 January 1989,20:15,Netherlands,4–2,Denmark
5 January 1989,21:30,Paraguay,5–0,Algeria
7 January 1989,19:30,Denmark,2–2,Paraguay
7 January 1989,21:00,Netherlands,4–1,Algeria
8 January 1989,14:30,Denmark,8–4,Algeria
8 January 1989,14:30,Netherlands,2–2,Paraguay
6 January 1989,19:15,Hungary,3–2,Brazil
6 January 1989,20:30,Saudi Arabia,2–8,Spain
7 January 1989,19:30,Brazil,8–0,Saudi Arabia
7 January 1989,20:00,Hungary,3–5,Spain
8 January 1989,14:30,Hungary,11–2,Saudi Arabia
8 January 1989,14:30,Brazil,4–1,Spain
6 January 1989,19:45,Japan,0–3,Belgium
6 January 1989,21:00,Canada,1–3,Argentina
7 January 1989,18:00,Belgium,2–0,Canada
7 January 1989,19:15,Japan,1–2,Argentina
8 January 1989,15:45,Japan,2–6,Canada
8 January 1989,15:45,Belgium,3–1,Argentina
6 January 1989,19:30,Italy,5–1,Zimbabwe
6 January 1989,21:00,United States,1–1,Australia
7 January 1989,19:30,Zimbabwe,1–5,United States
7 January 1989,20:45,Italy,6–1,Australia
8 January 1989,15:45,Zimbabwe,1–4,Australia
8 January 1989,15:45,Italy,1–4,United States
10 January 1989,19:45,Netherlands,3–3,Hungary
10 January 1989,21:00,Belgium,5–1,Italy
11 January 1989,19:45,Hungary,2–2,Belgium
11 January 1989,21:00,Netherlands,4–1,Italy
12 January 1989,21:00,Netherlands,1–2,Belgium
12 January 1989,21:00,Hungary,1–3,Italy
10 January 1989,19:45,Brazil,5–1,Paraguay
10 January 1989,21:00,United States,3–1,Argentina
11 January 1989,19:45,Paraguay,0–2,United States
11 January 1989,21:00,Brazil,6–3,Argentina
12 January 1989,21:00,Brazil,3–5,United States
12 January 1989,21:00,Paraguay,4–3,Argentina
1989-01-14,19:45,Belgium,3–5,Brazil
1989-01-14,21:00,United States,1–2,Netherlands
1989-01-15,14:00,Belgium,2–3,United States
1989-01-15,15:30,Brazil,2–1,Netherlands
1992 FIFA Futsal World Championship,1992,Hong Kong
1992-11-16,17:00,Poland,4–2,Hong Kong
1992-11-16,15:00,Argentina,6–2,Nigeria
1992-11-18,20:30,Argentina,2–1,Hong Kong
1992-11-18,18:30,Poland,5–4,Nigeria
1992-11-20,20:30,Hong Kong,4–1,Nigeria
1992-11-20,20:30,Argentina,3–2,Poland
1992-11-16,18:30,Netherlands,2–1,Iran
1992-11-16,18:30,Italy,7–5,Paraguay
1992-11-18,18:30,Iran,7–5,Italy
1992-11-18,20:30,Paraguay,3–1,Netherlands
1992-11-20,18:30,Netherlands,4–3,Italy
1992-11-20,18:30,Iran,10–6,Paraguay
1992-11-16,20:30,Brazil,3–0,Australia
1992-11-16,20:30,Belgium,6–2,Costa Rica
1992-11-18,20:30,Brazil,15–1,Costa Rica
1992-11-18,18:30,Belgium,2–1,Australia
1992-11-20,18:30,Australia,8–6,Costa Rica
1992-11-20,18:30,Brazil,5–0,Belgium
1992-11-17,18:30,Spain,6–5,China
1992-11-17,20:30,United States,8–3,Russia
1992-11-19,20:30,Russia,10–1,China
1992-11-19,18:30,Spain,5–3,United States
1992-11-21,20:30,Spain,7–7,Russia
1992-11-21,20:30,United States,7–1,China
1992-11-23,20:30,Brazil,2–2,United States
1992-11-23,18:30,Netherlands,4–1,Argentina
1992-11-24,20:30,Brazil,5–1,Argentina
1992-11-24,20:30,United States,3–3,Netherlands
1992-11-25,20:30,United States,6–3,Argentina
1992-11-25,20:30,Brazil,6–1,Netherlands
1992-11-23,18:30,Iran,2–0,Poland
1992-11-23,20:30,Spain,5–3,Belgium
1992-11-24,18:30,Iran,4–2,Spain
1992-11-24,18:30,Belgium,4–1,Poland
1992-11-25,18:30,Iran,4–2,Belgium
1992-11-25,18:30,Spain,7–3,Poland
1992-11-27,20:30,Brazil,4–1,Spain
1992-11-27,18:30,Iran,2–4,United States
1992-11-28,18:30,Iran,6–9,Spain
1992-11-28,20:30,Brazil,4–1,United States
1996 FIFA Futsal World Championship,1996,Spain
1996-11-24,13:00,Spain,7–2,Egypt
1996-11-24,,Ukraine,11–2,Australia
1996-11-26,,Egypt,8–2,Australia
1996-11-26,,Spain,4–1,Ukraine
1996-11-28,,Ukraine,10–3,Egypt
1996-11-28,,Spain,7–0,Australia
1996-11-25,,Argentina,2–1,China
1996-11-25,,Netherlands,2–2,Russia
1996-11-27,,Argentina,2–2,Russia
1996-11-27,,Netherlands,5–1,China
1996-11-28,,Russia,11–1,China
1996-11-28,,Netherlands,6–3,Argentina
1996-11-24,,United States,0–1,Uruguay
1996-11-24,,Malaysia,1–10,Italy
1996-11-26,,Italy,4–2,United States
1996-11-26,,Uruguay,4–1,Malaysia
1996-11-28,,Uruguay,2–2,Italy
1996-11-28,,United States,10–2,Malaysia
1996-11-25,,Brazil,5–2,Belgium
1996-11-25,,Iran,7–1,Cuba
1996-11-27,,Belgium,5–2,Iran
1996-11-27,,Brazil,18–0,Cuba
1996-11-28,,Brazil,8–3,Iran
1996-11-28,,Belgium,6–3,Cuba
1996-12-01,,Italy,4–1,Belgium
1996-12-01,,Spain,2–0,Russia
1996-12-02,,Italy,0–3,Russia
1996-12-02,,Belgium,1–2,Spain
1996-12-04,,Russia,6–2,Belgium
1996-12-04,,Spain,4–1,Italy
1996-11-30,,Netherlands,4–4,Ukraine
1996-11-30,,Brazil,5–2,Uruguay
1996-12-01,,Ukraine,2–2,Brazil
1996-12-01,,Uruguay,5–4,Netherlands
1996-12-03,,Brazil,5–1,Netherlands
1996-12-03,,Ukraine,5–3,Uruguay
1996-12-06,,Brazil,6–2,Russia
1996-12-06,,Spain,4–1,Ukraine
1996-12-08,,Russia,3–2,Ukraine
1996-12-08,,Brazil,6–4,Spain
2000 FIFA Futsal World Championship,2000,Guatemala
1 December 2000,18:00,Guatemala,2-6,Portugal
1 December 2000,20:30,Brazil,12-1,Kazakhstan
3 December 2000,14:00,Brazil,4-0,Portugal
3 December 2000,16:00,Guatemala,6-5,Kazakhstan
,,Portugal,6-2,Kazakhstan
,,Guatemala,2-29,Brazil
,,Uruguay,4-1,Thailand
,,Netherlands,5-3,Egypt
,,Egypt,7-0,Thailand
,,Netherlands,3-1,Uruguay
,,Netherlands,6-1,Thailand
,,Egypt,4-2,Uruguay
,,Russia,4-2,Croatia
,,Costa Rica,6-2,Australia
,,Russia,6-1,Costa Rica
,,Croatia,6-0,Australia
,,Croatia,4-1,Costa Rica
,,Russia,10-1,Australia
,,Spain,9-0,Cuba
,,Argentina,2-1,Iran
,,Argentina,8-1,Cuba
,,Spain,7-2,Iran
,,Iran,3-0,Cuba
,,Spain,3-0,Argentina
,,Russia,7-1,Argentina
,,Brazil,12-4,Egypt
,,Egypt,6-4,Russia
,,Brazil,4-1,Argentina
,,Argentina,4-3,Egypt
,,Brazil,6-2,Russia
,,Portugal,3-1,Netherlands
,,Spain,5-0,Croatia
,,Croatia,5-2,Netherlands
,,Spain,3-1,Portugal
,,Portugal,3-1,Croatia
,,Spain,7-0,Netherlands
,,Spain,3–2,Russia
,,Brazil,8–0,Portugal
,,Russia,2–4,Portugal
,,Spain,4–3,Brazil
2004 FIFA Futsal World Championship,2004,Chinese Taipei
December 3 2004,18:00,Chinese Taipei,0-12,Egypt
December 3 2004,20:30,Spain,2-0,Ukraine
December 5 2004,14:00,Chinese Taipei,0-10,Spain
December 5 2004,16:00,Egypt,4-5,Ukraine
,,Ukraine,7-2,Chinese Taipei
,,Egypt,0-7,Spain
,,Australia,0-10,Brazil
,,Czech Republic,2-1,Thailand
,,Australia,0-5,Czech Republic
,,Brazil,9-1,Thailand
,,Thailand,3-2,Australia
,,Brazil,4-1,Czech Republic
,,Italy,6-3,United States
,,Japan,4-5,Paraguay
,,Italy,5-0,Japan
,,United States,3-1,Paraguay
,,Paraguay,2-4,Italy
,,United States,1-1,Japan
,,Iran,0-4,Portugal
,,Cuba,0-3,Argentina
,,Iran,8-3,Cuba
,,Portugal,0-1,Argentina
,,Argentina,6-1,Iran
,,Portugal,5-0,Cuba
,,Spain,2-0,Czech Republic
,,Italy,0-0,Portugal
,,Spain,2-3,Italy
,,Czech Republic,4-8,Portugal
,,Spain,3-1,Portugal
,,Czech Republic,0-3,Italy
,,Brazil,6-1,Ukraine
,,Argentina,2-1,United States
,,Brazil,2-1,Argentina
,,Ukraine,3-1,United States
,,Brazil,8-5,United States
,,Ukraine,0-0,Argentina
,,Brazil,4–5,Spain
,,Argentina,4–7,Italy
,,Brazil,7–4,Argentina
,,Spain,2–1,Italy
2008 FIFA Futsal World Cup,2008,Brazil
16 October 2008,,Brazil,12-1,Japan
16 October 2008,,Cuba,10-2,Solomon Islands
18 October 2008,,Solomon Islands,0-21,Brazil
19 October 2008,,Russia,10-5,Cuba
,,Brazil,7-0,Russia
,,Japan,7-2,Solomon Islands
,,Japan,4-1,Cuba
,,Russia,31-2,Solomon Islands
,,Brazil,9-0,Cuba
,,Russia,9-1,Japan
,,Italy,1-0,Thailand
,,Paraguay,5-0,United States
,,Portugal,3-2,Paraguay
,,United States,1-6,Italy
,,Thailand,5-3,United States
,,Italy,3-1,Portugal
,,Portugal,8-1,United States
,,Thailand,0-8,Paraguay
