1989 FIFA Futsal World Championship
Team,Pld,W,D,L,GF,GA,GD,Pts,
Netherlands,3,2,1,0,10,5,+5,5,
Paraguay,3,1,2,0,9,4,+5,4,
Denmark,3,1,1,1,12,10,+2,3,
Algeria,3,0,0,3,5,17,-12,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Brazil,3,2,0,1,14,4,+10,4,
Hungary,3,2,0,1,17,9,+8,4,
Spain,3,2,0,1,14,9,+5,4,
Saudi Arabia,3,0,0,3,4,27,-23,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Belgium,3,3,0,0,8,1,+7,6,
Argentina,3,2,0,1,6,5,+1,4,
Canada,3,1,0,2,7,7,0,2,
Japan,3,0,0,3,3,11,-8,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
United States,3,2,1,0,10,3,+7,5,
Italy,3,2,0,1,12,6,+6,4,
Australia,3,1,1,1,6,8,-2,3,
Zimbabwe,3,0,0,3,3,14,-11,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Belgium,3,2,1,0,9,4,+5,5,
Netherlands,3,1,1,1,8,6,+2,3,
Hungary,3,0,2,1,6,8,-2,2,
Italy,3,1,0,2,5,10,-5,2,
Team,Pld,W,D,L,GF,GA,GD,Pts,
United States,3,3,0,0,10,4,+6,6,
Brazil,3,2,0,1,14,9,+5,4,
Paraguay,3,1,0,2,5,10,-5,2,
Argentina,3,0,0,3,7,13,-6,0,
1992 FIFA Futsal World Championship
Team,Pld,W,D,L,GF,GA,GD,Pts,
Argentina,3,3,0,0,11,5,+6,6,
Poland,3,2,0,1,11,9,+2,4,
Hong Kong,3,1,0,2,7,7,0,2,
Nigeria,3,0,0,3,7,15,-8,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Iran,3,2,0,1,18,13,+5,4,
Netherlands,3,2,0,1,7,7,0,4,
Italy,3,1,0,2,15,16,-1,2,
Paraguay,3,1,0,2,14,18,-4,2,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Brazil,3,3,0,0,23,1,+22,6,
Belgium,3,2,0,1,8,8,0,4,
Australia,3,1,0,2,9,11,-2,2,
Costa Rica,3,0,0,3,9,29,-20,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Spain,3,2,1,0,18,15,+3,5,
United States,3,2,0,1,18,9,+9,4,
Russia,3,1,1,1,20,16,+4,3,
China,3,0,0,3,7,23,-16,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Brazil,3,2,1,0,13,4,+9,5,
United States,3,1,2,0,11,8,+3,4,
Netherlands,3,1,1,1,8,10,-2,3,
Argentina,3,0,0,3,5,15,-10,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Iran,3,3,0,0,10,4,+6,6,
Spain,3,2,0,1,14,10,+4,4,
Belgium,3,1,0,2,9,10,-1,2,
Poland,3,0,0,3,4,13,-9,0,
1996 FIFA Futsal World Championship
Team,Pld,W,D,L,GF,GA,GD,Pts,
Spain,3,3,0,0,18,3,+15,9,
Ukraine,3,2,0,1,22,9,+13,6,
Egypt,3,1,0,2,13,19,-6,3,
Australia,3,0,0,3,4,26,-22,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Netherlands,3,2,1,0,13,6,+7,7,
Russia,3,1,2,0,15,5,+10,5,
Argentina,3,1,1,1,7,9,-2,4,
China,3,0,0,3,3,18,-15,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Italy,3,2,1,0,16,5,+11,7,
Uruguay,3,2,1,0,7,3,+4,7,
United States,3,1,0,2,12,7,+5,3,
Malaysia,3,0,0,3,4,24,-20,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Brazil,3,3,0,0,31,5,+26,9,
Belgium,3,2,0,1,13,10,+3,6,
Iran,3,1,0,2,12,13,-1,3,
Cuba,3,0,0,3,3,31,-28,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Spain,3,3,0,0,8,2,+6,9,
Russia,3,2,0,1,9,4,+5,6,
Italy,3,1,0,2,5,8,-3,3,
Belgium,3,0,0,3,4,12,-8,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Brazil,3,2,1,0,12,5,+7,7,
Ukraine,3,1,2,0,11,9,+2,5,
Uruguay,3,1,0,2,10,14,-4,3,
Netherlands,3,0,1,2,9,14,-5,1,
2000 FIFA Futsal World Championship
Team,Pts,Pld,W,D,L,GF,GA,Diff,
Brazil,9,3,3,0,0,45,3,+42,
Portugal,6,3,2,0,1,12,8,+4,
Guatemala,3,3,1,0,2,10,40,–30,
Kazakhstan,0,3,0,0,3,8,24,–16,
Team,Pts,Pld,W,D,L,GF,GA,Diff,
Netherlands,9,3,3,0,0,14,5,+9,
Egypt,6,3,2,0,1,14,7,+7,
Uruguay,3,3,1,0,2,7,8,–1,
Thailand,0,3,0,0,3,2,17,–15,
Team,Pts,Pld,W,D,L,GF,GA,Diff,
Russia,9,3,3,0,0,20,4,+16,
Croatia,6,3,2,0,1,12,5,+7,
Costa Rica,3,3,1,0,2,8,12,–4,
Australia,0,3,0,0,3,3,22,–19,
Team,Pts,Pld,W,D,L,GF,GA,Diff,
Spain,9,3,3,0,0,19,2,+17,
Argentina,6,3,2,0,1,10,5,+5,
Iran,3,3,1,0,2,6,9,–3,
Cuba,0,3,0,0,3,1,20,–19,
Team,Pts,Pld,W,D,L,GF,GA,Diff,
Brazil,9,3,3,0,0,22,7,+15,
Russia,3,3,1,0,2,13,13,0,
Egypt,3,3,1,0,2,13,20,–7,
Argentina,3,3,1,0,2,6,14,–8,
Team,Pts,Pld,W,D,L,GF,GA,Diff,
Spain,9,3,3,0,0,15,1,+14,
Portugal,6,3,2,0,1,7,5,+2,
Croatia,3,3,1,0,2,6,10,–4,
Netherlands,0,3,0,0,3,3,15,–12,
2004 FIFA Futsal World Championship
Team,Pts,Pld,W,D,L,GF,GA,Diff,
Spain,9,3,3,0,0,19,0,+19,
Ukraine,6,3,2,0,1,12,8,+4,
Egypt,3,3,1,0,2,16,12,+4,
Chinese Taipei,0,3,0,0,3,2,29,-27,
Team,Pts,Pld,W,D,L,GF,GA,Diff,
Brazil,9,3,3,0,0,23,2,+21,
Czech Republic,6,3,2,0,1,8,5,+3,
Thailand,3,3,1,0,2,5,13,–8,
Australia,0,3,0,0,3,2,18,–16,
Team,Pts,Pld,W,D,L,GF,GA,Diff,
Italy,9,3,3,0,0,15,5,+10,
United States,4,3,1,1,1,7,8,–1,
Paraguay,3,3,1,0,2,8,11,–3,
Japan,1,3,0,1,2,5,11,–6,
Team,Pts,Pld,W,D,L,GF,GA,Diff,
Argentina,9,3,3,0,0,10,1,+9,
Portugal,6,3,2,0,1,9,1,+8,
Iran,3,3,1,0,2,9,13,–4,
Cuba,0,3,0,0,3,3,16,–13,
Team,Pts,Pld,W,D,L,GF,GA,Diff,
Italy,7,3,2,1,0,6,2,+4,
Spain,6,3,2,0,1,7,4,+3,
Portugal,4,3,1,1,1,9,7,+2,
Czech Republic,0,3,0,0,3,4,13,–9,
Team,Pts,Pld,W,D,L,GF,GA,Diff,
Brazil,9,3,3,0,0,16,7,+9,
Argentina,4,3,1,1,1,3,3,0,
Ukraine,4,3,1,1,1,4,7,–3,
United States,0,3,0,0,3,7,13,–6,
2008 FIFA Futsal World Cup
Team,Pld,W,D,L,GF,GA,Diff,Pts,
Brazil,4,4,0,0,49,1,+48,12,
Russia,4,3,0,1,50,15,+35,9,
Japan,4,2,0,2,13,24,-11,6,
Cuba,4,1,0,3,16,25,-9,3,
Solomon Islands,4,0,0,4,6,69,-63,0,
Team,Pld,W,D,L,GF,GA,Diff,Pts,
Paraguay,4,3,0,1,19,5,+14,9,
Italy,4,3,0,1,12,6,+6,9,
Portugal,4,3,0,1,15,8,+7,9,
Thailand,4,1,0,3,7,15,-8,3,
United States,4,0,0,4,5,24,-19,0,
Team,Pld,W,D,L,GF,GA,Diff,Pts,
Ukraine,4,3,1,0,17,7,+10,10,
Argentina,4,3,1,0,13,5,+8,10,
Guatemala,4,2,0,2,14,9,+5,6,
Egypt,4,1,0,3,9,12,-3,3,
China,4,0,0,4,5,25,-20,0,
Team,Pld,W,D,L,GF,GA,Diff,Pts,
Spain,4,3,1,0,13,3,+10,10,
Iran,4,3,1,0,14,9,+5,10,
Czech Republic,4,2,0,2,10,10,0,6,
Libya,4,0,1,3,7,14,-7,1,
Uruguay,4,0,1,3,6,14,-8,1,
Team,Pld,W,D,L,GF,GA,Diff,Pts,
Brazil,3,3,0,0,9,3,+6,9,
Italy,3,1,1,1,9,8,+1,4,
Iran,3,1,1,1,10,10,0,4,
Ukraine,3,0,0,3,7,14,-7,0,
Team,Pld,W,D,L,GF,GA,Diff,Pts,
Spain,3,3,0,0,11,4,+7,9,
Russia,3,1,1,1,9,11,-2,4,
Argentina,3,0,2,1,6,7,-1,2,
Paraguay,3,0,1,2,8,12,-4,1,
2012 FIFA Futsal World Cup
Team,Pld,W,D,L,GF,GA,GD,Pts,
Ukraine,3,2,1,0,14,7,+7,7,
Paraguay,3,1,1,1,9,11,−2,4,
Thailand,3,1,0,2,8,9,−1,3,
Costa Rica,3,1,0,2,8,12,−4,3,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Spain,3,2,1,0,15,6,+9,7,
Iran,3,2,1,0,8,6,+2,7,
Panama,3,1,0,2,14,15,−1,3,
Morocco,3,0,0,3,5,15,−10,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Brazil,3,3,0,0,20,2,+18,9,
Portugal,3,1,1,1,11,9,+2,4,
Japan,3,1,1,1,10,11,−1,4,
Libya,3,0,0,3,3,22,−19,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Italy,3,3,0,0,17,5,+12,9,
Argentina,3,2,0,1,14,5,+9,6,
Australia,3,1,0,2,5,17,−12,3,
Mexico,3,0,0,3,4,13,−9,0,
Team,Pld,W,D,L,GF,GA,GD,Pts,
Serbia,3,2,1,0,12,5,+7,7,
Czech Republic,3,1,1,1,7,11,−4,4,
